HM Cnc, 121.595167, 15.458750
V407 Vul, 288.608708, 24.945361
ES Cet, 30.217667, -9.408778
SDSS J1351-0643, 207.976917, -6.719139
AM CVn, 188.727583, 37.628917
SDSS J1908+3940, 287.071167, 39.676778
HP Lib, 233.971125, -14.220056
PTF1 J1919+4815, 289.771583, 48.251667
ASASSN-14cc, 324.951042, -59.992472
CX361, 267.781917, -29.677028
CR Boo, 207.230083, 7.959944
KL Dra, 291.159375, 59.696306
PTF1 J2219+3135, 334.792042, 31.589750
V803 Cen, 200.935583, -41.741528
PTF1 J0719+4858, 109.800500, 48.976306
ASASSN-15kf, 234.659333, -30.597139
YZ LMi, 141.661333, 36.400694
CP Eri, 47.636542, -9.751722
SDSS J1043+5632, 160.854500, 56.549444
CRTS J0910-2008, 137.572708, -20.136806
PTF1 J0943+1029, 145.873292, 10.499333
CRTS J0105+1903, 16.458750, 19.054722
PTF1 J1632+3511, 248.164125, 35.185361
CRTS J0744+3254, 116.082083, 32.913333
V406 Hya, 136.478125, -5.602361
PTF1 J0435+0029, 68.823875, 0.494639
SDSS J1730+5545, 262.698292, 55.755139
NSV1440, 58.824792, -82.436472
V558 Vir, 216.756625, -1.386167
SDSS J1240-0159, 190.241792, -1.988667
V744 And, 22.416917, 38.702889
SDSS J1721+2733, 260.260333, 27.550333
ASASSN-14mv, 108.363667, 20.931472
ASASSN-14ei, 43.888667, -47.845083
SDSS J1525+3600, 231.289875, 36.015194
SDSS J0804+1616, 121.206208, 16.273583
SDSS J1411+4812, 212.826333, 48.215972
GP Com, 196.426667, 18.017722
CRTS J0450-0931, 72.582583, -9.520222
SDSS J0902+3819, 135.589000, 38.328278
Gaia14aae, 242.891542, 63.142194
ASASSN-17fp, 272.212917, -73.067833
SDSS J1208+3550, 182.175042, 35.840389
SDSS J1642+1934, 250.616958, 19.569472
SDSS J1552+3201, 238.218667, 32.030833
SDSS J1137+4054, 174.384667, 40.916250
V396 Hya, 198.193500, -23.359056
SDSS J1319+5915, 199.977167, 59.254056
PU Aqr, 311.914167, 0.144528
CRTS J0844-0128, 131.056917, -1.468861
PTF1 J0857+0729, 134.351125, 7.496306
SDSS J1505+0659, 226.464875, 6.996917
PTF1 J1523+1845, 230.794625, 18.766167
ASASSN-14fv, 352.479708, 44.937333
Gaia16all, 96.835458, -75.226000
